cycle_id,M_Conv1_Speed_mmps,M_Conv2_Speed_mmps,M_Conv3_Speed_mmps,M_Conv4_Speed_mmps,I_R01_Gripper_Pot,I_R01_Gripper_Load,I_R02_Gripper_Pot,I_R02_Gripper_Load,I_R03_Gripper_Pot,I_R03_Gripper_Load,I_R04_Gripper_Pot,I_R04_Gripper_Load,Q_Cell_CycleCount,milling_wear_max,milling_wear_mean,milling_wear_std
0,111.0,83.0,111.0,111.0,11539.0,480.0,11663.0,1325.0,2407.0,1382.0,13221.0,614.0,22.0,160,81.33998130258648,30.149190515897278
1,111.0,83.0,111.0,111.0,11192.0,297.0,11682.0,1288.0,2405.0,1379.0,13297.0,679.0,22.0,160,81.33998130258648,30.149190515897278
2,111.0,83.0,111.0,111.0,11244.0,442.0,11708.0,1312.0,2411.0,1387.0,13182.0,627.0,22.0,160,81.33998130258648,30.149190515897278
3,111.0,83.0,111.0,111.0,11324.0,432.0,11676.0,1328.0,2395.0,1360.0,13135.0,605.0,22.0,160,81.33998130258648,30.149190515897278
4,111.0,83.0,111.0,111.0,11132.0,443.0,11633.0,1336.0,2399.0,1373.0,13237.0,617.0,22.0,160,81.33998130258648,30.149190515897278
5,111.0,83.0,111.0,111.0,11144.0,477.0,11652.0,1311.0,2392.0,1369.0,13072.0,673.0,22.0,160,81.33998130258648,30.149190515897278
6,111.0,83.0,111.0,111.0,11232.0,426.0,11647.0,1322.0,2402.0,1364.0,13200.0,567.0,22.0,160,81.33998130258648,30.149190515897278
7,111.0,83.0,111.0,111.0,11151.0,439.0,11671.0,1331.0,2403.0,1372.0,13226.0,610.0,22.0,160,81.33998130258648,30.149190515897278
8,111.0,83.0,111.0,111.0,11214.0,431.0,11696.0,1323.0,2396.0,1374.0,13215.0,552.0,22.0,160,81.33998130258648,30.149190515897278
9,111.0,83.0,111.0,111.0,11231.0,421.0,11665.0,1339.0,2399.0,1377.0,13149.0,639.0,22.0,160,81.33998130258648,30.149190515897278
10,111.0,83.0,111.0,111.0,11176.0,132.0,11682.0,1304.0,2407.0,1370.0,13257.0,633.0,22.0,160,81.33998130258648,30.149190515897278
11,111.0,83.0,111.0,111.0,11255.0,437.0,11728.0,1297.0,2403.0,1381.0,13198.0,756.0,22.0,160,81.33998130258648,30.149190515897278
12,111.0,83.0,111.0,111.0,11271.0,408.0,11682.0,1297.0,2400.0,1386.0,13132.0,567.0,22.0,160,81.33998130258648,30.149190515897278
13,111.0,83.0,111.0,111.0,11268.0,405.0,11634.0,1339.0,2399.0,1364.0,13200.0,634.0,22.0,160,81.33998130258648,30.149190515897278
14,111.0,83.0,111.0,111.0,11194.0,401.0,11665.0,1301.0,2405.0,1383.0,13191.0,631.0,22.0,160,81.33998130258648,30.149190515897278
15,111.0,83.0,111.0,111.0,11259.0,453.0,11637.0,1283.0,2411.0,1359.0,12999.0,661.0,22.0,160,81.33998130258648,30.149190515897278
16,111.0,83.0,111.0,111.0,11033.0,422.0,11699.0,1280.0,2398.0,1379.0,13239.0,617.0,22.0,160,81.33998130258648,30.149190515897278
17,111.0,83.0,111.0,111.0,11209.0,452.0,11658.0,1296.0,2402.0,1385.0,13218.0,632.0,22.0,160,81.33998130258648,30.149190515897278
18,111.0,83.0,111.0,111.0,11260.0,409.0,11710.0,1324.0,2399.0,1365.0,13150.0,561.0,22.0,160,81.33998130258648,30.149190515897278
19,111.0,83.0,111.0,111.0,11180.0,449.0,11676.0,1312.0,2402.0,1398.0,13264.0,660.0,22.0,160,81.33998130258648,30.149190515897278
20,111.0,83.0,111.0,111.0,11289.0,477.0,11697.0,1299.0,2407.0,1383.0,13148.0,613.0,22.0,160,81.33998130258648,30.149190515897278
21,111.0,83.0,111.0,111.0,11191.0,464.0,11672.0,1322.0,2392.0,1370.0,13168.0,640.0,22.0,160,81.33998130258648,30.149190515897278
22,111.0,83.0,111.0,111.0,11222.0,332.0,11612.0,1309.0,2397.0,1363.0,13219.0,627.0,22.0,160,81.33998130258648,30.149190515897278
23,111.0,83.0,111.0,111.0,11175.0,409.0,11709.0,1313.0,2404.0,1365.0,13201.0,627.0,22.0,160,81.33998130258648,30.149190515897278
24,111.0,83.0,111.0,111.0,11178.0,443.0,11691.0,1313.0,2404.0,1352.0,13259.0,636.0,22.0,160,81.33998130258648,30.149190515897278
25,111.0,83.0,111.0,111.0,11207.0,440.0,11659.0,1333.0,2409.0,1356.0,13194.0,650.0,22.0,160,81.33998130258648,30.149190515897278
26,111.0,83.0,111.0,111.0,11182.0,483.0,11688.0,1296.0,2394.0,1371.0,13258.0,641.0,22.0,160,81.33998130258648,30.149190515897278
27,111.0,83.0,111.0,111.0,11221.0,414.0,11690.0,1302.0,2398.0,1362.0,13252.0,689.0,22.0,160,81.33998130258648,30.149190515897278
28,111.0,83.0,111.0,111.0,11168.0,432.0,11668.0,1337.0,2400.0,1372.0,13079.0,564.0,22.0,160,81.33998130258648,30.149190515897278
29,111.0,83.0,111.0,111.0,11251.0,423.0,11639.0,1312.0,2399.0,1349.0,13165.0,593.0,22.0,160,81.33998130258648,30.149190515897278
30,111.0,83.0,111.0,111.0,11185.0,438.0,11636.0,1286.0,2404.0,1385.0,13216.0,641.0,22.0,160,81.33998130258648,30.149190515897278
31,111.0,83.0,111.0,111.0,11237.0,393.0,11711.0,1304.0,2400.0,1369.0,13296.0,660.0,22.0,160,81.33998130258648,30.149190515897278
32,111.0,83.0,111.0,111.0,11227.0,422.0,11606.0,1302.0,2404.0,1382.0,13094.0,639.0,22.0,160,81.33998130258648,30.149190515897278
33,111.0,83.0,111.0,111.0,11257.0,337.0,11682.0,1277.0,2397.0,1378.0,13284.0,593.0,22.0,160,81.33998130258648,30.149190515897278
34,111.0,83.0,111.0,111.0,11230.0,417.0,11710.0,1287.0,2415.0,1386.0,13168.0,630.0,22.0,160,81.33998130258648,30.149190515897278
35,111.0,83.0,111.0,111.0,11127.0,414.0,11734.0,1309.0,2403.0,1361.0,13449.0,651.0,22.0,160,81.33998130258648,30.149190515897278
36,111.0,83.0,111.0,111.0,11467.0,431.0,11719.0,1323.0,2406.0,1359.0,13263.0,666.0,22.0,160,81.33998130258648,30.149190515897278
37,111.0,83.0,111.0,111.0,11185.0,406.0,11634.0,1280.0,2410.0,1369.0,13108.0,644.0,22.0,160,81.33998130258648,30.149190515897278
38,111.0,83.0,111.0,111.0,11260.0,340.0,11697.0,1313.0,2414.0,1356.0,13283.0,558.0,22.0,160,81.33998130258648,30.149190515897278
39,111.0,83.0,111.0,111.0,11202.0,408.0,11706.0,1326.0,2404.0,1370.0,13240.0,733.0,22.0,160,81.33998130258648,30.149190515897278
40,111.0,83.0,111.0,111.0,11261.0,476.0,11649.0,1304.0,2404.0,1385.0,13175.0,659.0,22.0,160,81.33998130258648,30.149190515897278
41,111.0,83.0,111.0,111.0,11203.0,307.0,11612.0,1285.0,2391.0,1371.0,13238.0,794.0,22.0,160,81.33998130258648,30.149190515897278
42,111.0,83.0,111.0,111.0,11526.0,403.0,11679.0,1339.0,2400.0,1386.0,13220.0,648.0,22.0,160,81.33998130258648,30.149190515897278
43,111.0,83.0,111.0,111.0,11209.0,397.0,11637.0,1331.0,2406.0,1365.0,13122.0,636.0,22.0,160,81.33998130258648,30.149190515897278
44,111.0,83.0,111.0,111.0,11183.0,447.0,11643.0,1288.0,2405.0,1378.0,13268.0,708.0,22.0,160,81.33998130258648,30.149190515897278
45,111.0,83.0,111.0,111.0,11156.0,419.0,11693.0,1301.0,2399.0,1387.0,13182.0,701.0,22.0,160,81.33998130258648,30.149190515897278
46,111.0,83.0,111.0,111.0,11291.0,407.0,11684.0,1315.0,2406.0,1385.0,13232.0,612.0,22.0,160,81.33998130258648,30.149190515897278
47,111.0,83.0,111.0,111.0,11208.0,423.0,11653.0,1275.0,2402.0,1369.0,13253.0,670.0,22.0,160,81.33998130258648,30.149190515897278
48,111.0,83.0,111.0,111.0,11233.0,453.0,11657.0,1305.0,2402.0,1379.0,13301.0,633.0,22.0,160,81.33998130258648,30.149190515897278
49,111.0,83.0,111.0,111.0,11222.0,420.0,11635.0,1304.0,2401.0,1385.0,13228.0,632.0,22.0,160,81.33998130258648,30.149190515897278
50,111.0,83.0,111.0,111.0,11190.0,426.0,11629.0,1336.0,2397.0,1362.0,13200.0,621.0,22.0,160,81.33998130258648,30.149190515897278
51,111.0,83.0,111.0,111.0,11242.0,424.0,11666.0,1326.0,2397.0,1377.0,13165.0,640.0,22.0,160,81.33998130258648,30.149190515897278
52,111.0,83.0,111.0,111.0,11204.0,481.0,11735.0,1328.0,2414.0,1384.0,13256.0,636.0,22.0,160,81.33998130258648,30.149190515897278
53,111.0,83.0,111.0,111.0,11209.0,377.0,11649.0,1264.0,2410.0,1369.0,13213.0,511.0,22.0,160,81.33998130258648,30.149190515897278
54,111.0,83.0,111.0,111.0,11185.0,393.0,11651.0,1306.0,2409.0,1360.0,13236.0,676.0,22.0,160,81.33998130258648,30.149190515897278
